id,rank,course,normal,midterm,final
S01,36,65,70,65,57
S02,22,76,82,81,63
S03,5,92,88,97,95
S04,13,82,84,73,83
S05,46,14,16,32,0
S06,32,69,68,60,78
S07,35,66,66,61,69
S08,7,88,92,83,84
S09,36,65,82,52,46
S10,50,0,0,0,0
S11,28,72,72,69,74
S12,5,92,96,75,95
S13,30,70,78,65,61
S14,1,97,96,94,100
S15,7,88,86,91,88
S16,7,88,92,86,84
S17,18,77,84,64,75
S18,18,77,82,68,76
S19,43,37,14,43,71
S20,40,60,52,42,76
S21,15,81,80,90,76
S22,36,65,74,31,72
S23,30,70,68,64,77
S24,25,74,70,82,74
S25,16,78,80,74,78
S26,32,69,70,78,61
S27,25,74,74,65,79
S28,18,77,90,65,64
S29,13,82,90,74,74
S30,24,75,74,68,82
S31,16,78,80,63,84
S32,27,73,84,72,54
S33,18,77,80,66,78
S34,7,88,96,90,74
S35,40,60,62,26,76
S36,2,96,96,92,100
S37,39,63,66,29,82
S38,45,16,2,26,33
S39,50,0,0,0,0
S40,22,76,86,59,69
S41,11,83,84,66,93
S42,48,4,8,0,0
S43,29,71,82,77,48
S44,49,1,2,0,0
S45,32,69,84,43,60
S46,2,96,100,84,99
S47,44,26,22,29,30
S48,4,94,90,93,100
S49,11,83,84,84,80
S50,42,48,48,31,59
S51,47,6,12,0,0
