帳號,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
S02,7,6,7,1,7,7,6,1,7,7,1,7,7,7,7,1
S04,5,5,5,4,3,5,4,3,5,3,5,3,5,5,5,4
S03,7,7,7,1,7,7,7,1,7,7,7,1,7,7,7,1
S05,7,7,7,1,7,7,7,1,7,7,1,1,7,7,7,1
S06,4,4,5,5,4,5,4,4,4,3,5,4,4,4,4,4
S07,4,5,5,4,4,4,5,5,4,5,3,4,4,4,4,4
S08,7,7,7,1,7,6,7,4,6,6,4,4,6,7,6,4
S09,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
S11,4,5,5,3,4,5,7,3,4,5,3,3,4,5,4,4
S12,6,6,6,3,6,6,6,3,6,4,4,4,6,6,6,3
S13,5,6,6,3,5,5,5,3,5,4,3,3,6,5,5,3
S14,4,5,7,4,4,5,7,4,4,7,4,4,4,7,7,4
S15,7,6,7,2,5,5,6,2,6,6,4,2,6,6,6,5
S16,6,6,6,2,6,6,6,2,6,6,2,2,6,6,6,2
S17,7,7,7,4,6,7,7,4,7,6,3,3,6,6,6,4
S18,6,6,7,3,3,5,5,3,5,5,3,3,5,5,5,3
S19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
S20,5,5,5,3,5,6,4,3,5,4,5,2,5,4,5,4
S21,7,7,7,1,7,7,7,1,7,7,1,1,7,7,7,1
S22,7,7,7,3,6,6,6,3,5,6,3,3,6,6,6,3
S23,4,5,4,4,4,5,4,5,4,3,5,4,5,4,4,4
S24,7,7,7,1,7,7,7,1,5,7,2,2,7,7,7,1
S25,5,5,5,4,4,5,5,4,5,4,5,5,5,5,5,5
S26,5,5,5,5,6,5,4,5,5,4,6,5,5,5,5,5
S27,5,5,5,3,4,5,5,5,4,4,4,4,4,4,4,4
S28,4,5,5,3,4,5,5,3,5,5,5,3,6,5,5,5
S29,7,7,7,1,6,7,7,1,7,7,1,1,7,7,7,1
S30,4,4,4,5,4,5,4,4,4,3,5,3,4,4,5,4
S31,3,4,6,3,3,5,6,3,3,3,6,3,4,5,6,3
S32,6,5,6,4,6,6,6,4,6,7,4,5,6,6,6,5
S33,5,7,7,3,5,6,6,2,6,3,3,3,5,6,6,4
S34,4,4,4,4,4,4,4,4,7,4,4,4,4,4,4,4
S35,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
S36,5,5,5,2,6,6,6,2,5,6,2,2,6,6,7,2
S37,7,7,6,4,4,4,5,5,4,4,4,4,4,4,5,5
S40,7,7,7,3,7,7,7,3,7,7,3,3,7,7,7,2
S43,5,6,6,3,5,6,6,4,5,5,4,4,5,4,4,5
S45,6,6,6,4,5,6,6,4,6,5,4,4,5,6,6,4
S46,4,5,5,4,4,5,4,5,4,3,3,4,4,5,4,4
S47,3,4,4,5,3,4,4,5,3,4,5,5,3,4,4,4
S48,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
S49,6,6,6,3,5,6,6,4,5,6,3,3,5,6,6,3
S50,7,7,7,7,7,7,7,1,5,4,5,3,6,7,7,7
