帳號,IM,IR,ER,AM
S02,7.0,6.75,6.666666666666667,2.5
S04,4.5,4.5,4.666666666666667,3.5
S03,7.0,7.0,7.0,1.0
S05,7.0,7.0,7.0,1.0
S06,4.0,4.0,4.333333333333333,4.25
S07,4.0,4.5,4.666666666666667,4.25
S08,6.5,6.5,6.666666666666667,3.25
S09,4.0,4.0,4.0,4.0
S11,4.0,5.0,5.333333333333333,3.25
S12,6.0,5.5,6.0,3.25
S13,5.25,5.0,5.333333333333333,3.0
S14,4.0,6.0,7.0,4.0
S15,6.0,5.75,6.333333333333333,2.75
S16,6.0,6.0,6.0,2.0
S17,6.5,6.5,6.666666666666667,3.75
S18,4.75,5.25,5.666666666666667,3.0
S19,4.0,4.0,4.0,4.0
S20,5.0,4.75,4.666666666666667,3.0
S21,7.0,7.0,7.0,1.0
S22,6.0,6.25,6.333333333333333,3.0
S23,4.25,4.25,4.0,4.25
S24,6.5,7.0,7.0,1.25
S25,4.75,4.75,5.0,4.5
S26,5.25,4.75,4.666666666666667,5.0
S27,4.25,4.5,4.666666666666667,4.0
S28,4.75,5.0,5.0,3.5
S29,6.75,7.0,7.0,1.0
S30,4.0,4.0,4.333333333333333,4.0
S31,3.25,4.25,6.0,3.0
S32,6.0,6.0,6.0,4.5
S33,5.25,5.5,6.333333333333333,3.0
S34,4.75,4.0,4.0,4.0
S35,5.0,5.0,5.0,4.75
S36,5.5,5.75,6.0,2.0
S37,4.75,4.75,5.333333333333333,4.5
S40,7.0,7.0,7.0,2.75
S43,5.0,5.25,5.333333333333333,4.0
S45,5.5,5.75,6.0,4.0
S46,4.0,4.5,4.333333333333333,4.25
S47,3.0,4.0,4.0,4.75
S48,5.0,5.0,5.0,5.0
S49,5.25,6.0,6.0,3.25
S50,6.25,6.25,7.0,4.5
